gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,Unnamed: 8,training_images_count,example_occurrence_image_url,speciesKey,gbif_name,genus,family
1809033,,,,,565,,,78,http://www.boldsystems.org/pics/BCIAR/LEARCN-22000034-BCI23293-D+1279888334.JPG,1809033,Castrica phalaenoides,Castrica,Erebidae
1809066,,,,,566,,,56,https://inaturalist-open-data.s3.amazonaws.com/photos/134488907/original.jpeg,1809066,Cratoplastis diluta,Cratoplastis,Erebidae
1809087,,,,,567,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/60310817/original.jpeg,1809087,Watsonidia reimona,Watsonidia,Erebidae
1809127,,,,,568,,,404,https://inaturalist-open-data.s3.amazonaws.com/photos/277109835/original.jpg,1809127,Syntomeida melanthus,Syntomeida,Erebidae
1809176,,,,,569,,,37,https://inaturalist-open-data.s3.amazonaws.com/photos/59074055/original.jpg,1809176,Dasysphinx volatilis,Dasysphinx,Erebidae
1809200,,,,,570,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/108538998/original.jpg,1809200,Pseudophaloe troetschi,Pseudophaloe,Erebidae
1809294,,,,,571,,,176,https://inaturalist-open-data.s3.amazonaws.com/photos/328159954/original.jpeg,1809294,Carales astur,Carales,Erebidae
1809337,,,,,572,,,5,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM325/MEM325256_Calidota_obscurator__1534354827_lg.jpg,1809337,Calidota obscurator,Calidota,Erebidae
1809339,,,,,573,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/178607056/original.jpeg,1809339,Gaudeator paidicus,Gaudeator,Erebidae
1809341,,,,,574,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/171876904/original.jpg,1809341,Syntrichura virens,Syntrichura,Erebidae
1809348,,,,,575,,,153,https://inaturalist-open-data.s3.amazonaws.com/photos/172199233/original.jpeg,1809348,Phaloesia saucia,Phaloesia,Erebidae
1809408,,,,,576,,,4,http://www.boldsystems.org/pics/ASARC/INB0003935169-BAES002085+1315857186.jpg,1809408,Onythes pallidicosta,Onythes,Erebidae
1809440,,,,,577,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/32083013/original.jpg,1809440,Nodozana thricophora,Nodozana,Erebidae
1809491,,,,,578,,,43,https://inaturalist-open-data.s3.amazonaws.com/photos/149552989/original.jpeg,1809491,Saurita temenus,Saurita,Erebidae
1809493,,,,,579,,,7,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM340/340017_1654550795_lg.jpg,1809493,Saurita watsoni,Saurita,Erebidae
1809499,,,,,580,,,168,https://inaturalist-open-data.s3.amazonaws.com/photos/206718284/original.jpeg,1809499,Saurita cassandra,Saurita,Erebidae
1809514,,,,,581,,,26,https://inaturalist-open-data.s3.amazonaws.com/photos/77462927/original.jpeg,1809514,Saurita nigripalpia,Saurita,Erebidae
1809515,,,,,582,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/258437918/original.jpeg,1809515,Saurita sanguinea,Saurita,Erebidae
1809524,,,,,583,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/32461089/original.jpg,1809524,Saurita phoenicosticta,Saurita,Erebidae
1809533,,,,,584,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/172240094/original.jpeg,1809533,Saurita anselma,Saurita,Erebidae
1809542,,,,,585,,,16,https://inaturalist-open-data.s3.amazonaws.com/photos/296530798/original.jpg,1809542,Saurita tipulina,Saurita,Erebidae
1809957,,,,,586,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/273911229/original.jpg,1809957,Leucanopsis malodonta,Leucanopsis,Erebidae
1809971,,,,,587,,,41,https://inaturalist-open-data.s3.amazonaws.com/photos/38417562/original.jpeg,1809971,Leucanopsis leucanina,Leucanopsis,Erebidae
1809981,,,,,588,,,4,http://www.boldsystems.org/pics/NFECU/FBE06023_A+1696957380.JPG,1809981,Leucanopsis luridioides,Leucanopsis,Erebidae
1810004,,,,,589,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/79779631/original.jpeg,1810004,Leucanopsis aurantiaca,Leucanopsis,Erebidae
1810072,,,,,590,,,7,http://www.boldsystems.org/pics/NFECU/FBE06022_C+1696957390.JPG,1810072,Leucanopsis stipulata,Leucanopsis,Erebidae
1810114,,,,,591,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/119181583/original.jpeg,1810114,Anaxita suprema,Anaxita,Erebidae
1810148,,,,,592,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/172757775/original.jpeg,1810148,Eucereon obscura,Eucereon,Erebidae
1810172,,,,,593,,,96,https://inaturalist-open-data.s3.amazonaws.com/photos/338709209/original.jpeg,1810172,Eucereon tigrata,Eucereon,Erebidae
1810196,,,,,594,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/160045560/original.jpg,1810196,Eucereon phaeoproctum,Eucereon,Erebidae
1810209,,,,,595,,,12,http://mediaphoto.mnhn.fr/media/1537976583983tqWpQXC8E0LljlqY,1810209,Eucereon maja,Eucereon,Erebidae
1810211,,,,,596,,,20,https://inaturalist-open-data.s3.amazonaws.com/photos/388588010/original.jpg,1810211,Eucereon costulatum,Eucereon,Erebidae
1810220,,,,,597,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/91453045/original.jpeg,1810220,Eucereon aroa,Eucereon,Erebidae
1810226,,,,,598,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/262097363/original.jpg,1810226,Eucereon argutum,Eucereon,Erebidae
1810229,,,,,599,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/381942181/original.jpeg,1810229,Eucereon tarona,Eucereon,Erebidae
1810258,,,,,600,,,16,https://inaturalist-open-data.s3.amazonaws.com/photos/161296095/original.jpeg,1810258,Eucereon discolor,Eucereon,Erebidae
1810274,,,,,601,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/302255901/original.jpeg,1810274,Eucereon patrona,Eucereon,Erebidae
1810281,,,,,602,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/63553812/original.jpeg,1810281,Eucereon aoris,Eucereon,Erebidae
1810308,,,,,603,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/63000194/original.jpeg,1810308,Eucereon xanthoperas,Eucereon,Erebidae
1810315,,,,,604,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/67962319/original.jpeg,1810315,Eucereon chloraenoma,Eucereon,Erebidae
1810318,,,,,605,,,40,https://inaturalist-open-data.s3.amazonaws.com/photos/303642545/original.jpeg,1810318,Eucereon vestalis,Eucereon,Erebidae
1810319,,,,,606,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/225413909/original.jpeg,1810319,Eucereon formosum,Eucereon,Erebidae
1810322,,,,,607,,,5,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM331/MEM331250_Eucereon_aurantiaca__1536257983_lg.jpg,1810322,Eucereon pseudarchias,Eucereon,Erebidae
1810348,,,,,608,,,129,http://www.boldsystems.org/pics/MHMYM/11-SRNP-1760-DHJ544009+1365548308.jpg,1810348,Eucereon aeolum,Eucereon,Erebidae
1810350,,,,,609,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/55365098/original.jpeg,1810350,Eucereon facundum,Eucereon,Erebidae
1810352,,,,,610,,,17,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM331/MEM331268_Eucereon_consorta_CE_1536854585_lg.jpg,1810352,Eucereon consorta,Eucereon,Erebidae
1810356,,,,,611,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/119923800/original.jpeg,1810356,Eucereon pittieri,Eucereon,Erebidae
1810357,,,,,612,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/126108844/original.jpeg,1810357,Eucereon tripunctatum,Eucereon,Erebidae
1810445,,,,,613,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/374184273/original.jpeg,1810445,Astralarctia pulverosa,Astralarctia,Erebidae
1810482,,,,,614,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/250436252/original.jpeg,1810482,Sarosa notata,Sarosa,Erebidae
1810500,,,,,615,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/100564379/original.jpg,1810500,Sarosa annotata,Sarosa,Erebidae
1810794,,,,,616,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/95055522/original.jpeg,1810794,Odozana sixola,Odozana,Erebidae
1810818,,,,,617,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/258565658/original.jpg,1810818,Ixylasia schausi,Ixylasia,Erebidae
1810824,,,,,618,,,45,https://inaturalist-open-data.s3.amazonaws.com/photos/245716084/original.jpeg,1810824,Hyaleucerea vulnerata,Hyaleucerea,Erebidae
1810844,,,,,619,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/98480529/original.jpeg,1810844,Hyaleucerea gigantea,Hyaleucerea,Erebidae
1810846,,,,,620,,,35,https://inaturalist-open-data.s3.amazonaws.com/photos/12599930/original.jpg,1810846,Psychophasma erosa,Psychophasma,Erebidae
1810866,,,,,621,,,47,https://inaturalist-open-data.s3.amazonaws.com/photos/191668921/original.jpg,1810866,Phoenicoprocta sanguinea,Phoenicoprocta,Erebidae
1810884,,,,,622,,,9,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM418/418795_1656015739_lg.jpg,1810884,Phoenicoprocta lydia,Phoenicoprocta,Erebidae
1810980,,,,,623,,,49,https://inaturalist-open-data.s3.amazonaws.com/photos/321850437/original.jpg,1810980,Hypercompe nemophila,Hypercompe,Erebidae
1810981,,,,,624,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/15099374/original.jpeg,1810981,Hypercompe trinitatis,Hypercompe,Erebidae
1811016,,,,,625,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/171572171/original.jpg,1811016,Hypercompe cotyora,Hypercompe,Erebidae
1811019,,,,,626,,,173,https://inaturalist-open-data.s3.amazonaws.com/photos/28324918/original.jpg,1811019,Hypercompe caudata,Hypercompe,Erebidae
1811041,,,,,627,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/163418349/original.jpg,1811041,Hypercompe magdalenae,Hypercompe,Erebidae
1811075,,,,,628,,,25,https://inaturalist-open-data.s3.amazonaws.com/photos/299045594/original.jpeg,1811075,Hypercompe muzina,Hypercompe,Erebidae
1811100,,,,,629,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/2964479/original.JPG,1811100,Hypercompe albescens,Hypercompe,Erebidae
1811106,,,,,630,,,123,https://inaturalist-open-data.s3.amazonaws.com/photos/176389856/original.jpeg,1811106,Hypercompe laeta,Hypercompe,Erebidae
1811121,,,,,631,,,48,https://inaturalist-open-data.s3.amazonaws.com/photos/123412733/original.jpg,1811121,Hypercompe icasia,Hypercompe,Erebidae
1811138,,,,,632,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/58551034/original.jpeg,1811138,Calonotos helymus,Calonotos,Erebidae
1811142,,,,,633,,,21,https://inaturalist-open-data.s3.amazonaws.com/photos/261759733/original.jpg,1811142,Calonotos tiburtus,Calonotos,Erebidae
1811178,,,,,634,,,31,https://inaturalist-open-data.s3.amazonaws.com/photos/247618144/original.jpeg,1811178,Isanthrene basifera,Isanthrene,Erebidae
1811186,,,,,635,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/360797189/original.jpg,1811186,Isanthrene azia,Isanthrene,Erebidae
1811190,,,,,636,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/356083714/original.jpg,1811190,Isanthrene championi,Isanthrene,Erebidae
1811192,,,,,637,,,34,https://inaturalist-open-data.s3.amazonaws.com/photos/54982821/original.jpg,1811192,Isanthrene crabroniformis,Isanthrene,Erebidae
1811196,,,,,638,,,29,https://inaturalist-open-data.s3.amazonaws.com/photos/363304026/original.jpg,1811196,Isanthrene monticola,Isanthrene,Erebidae
1811198,,,,,639,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/111923407/original.jpeg,1811198,Isanthrene cazador,Isanthrene,Erebidae
1811202,,,,,640,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/66391437/original.jpeg,1811202,Isanthrene felderi,Isanthrene,Erebidae
