gbif_name,gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,,genus,family,training_images_count,example_occurrence_image_url
,1761842,,,,,#N/A,,,,,5,https://api.idigbio.org/v2/media/70e57832a835e2085ae293eeec510e2a
,1761846,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/201457421/original.jpeg
,1761853,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/245514592/original.jpeg
,1761891,,,,,#N/A,,,,,25,https://inaturalist-open-data.s3.amazonaws.com/photos/55437414/original.jpeg
,1761892,,,,,#N/A,,,,,675,https://inaturalist-open-data.s3.amazonaws.com/photos/237647164/original.jpeg
,1762102,,,,,#N/A,,,,,32,https://inaturalist-open-data.s3.amazonaws.com/photos/400126543/original.jpeg
,1762139,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/111787160/original.jpeg
,1762662,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/46529607/original.jpeg
,1763152,,,,,#N/A,,,,,22,https://inaturalist-open-data.s3.amazonaws.com/photos/249184699/original.jpg
,1763156,,,,,#N/A,,,,,52,https://inaturalist-open-data.s3.amazonaws.com/photos/12456606/original.jpg
,1763163,,,,,#N/A,,,,,66,https://inaturalist-open-data.s3.amazonaws.com/photos/400474173/original.jpeg
,1763164,,,,,#N/A,,,,,33,https://inaturalist-open-data.s3.amazonaws.com/photos/245459249/original.jpeg
Eulepidotis electa,1763167,,,,,119,,,Eulepidotis,Erebidae,5,https://inaturalist-open-data.s3.amazonaws.com/photos/29785897/original.jpg
,1763169,,,,,#N/A,,,,,22,https://inaturalist-open-data.s3.amazonaws.com/photos/44865465/original.jpeg
Eulepidotis superior,1763175,,,,,121,,,Eulepidotis,Erebidae,7,https://inaturalist-open-data.s3.amazonaws.com/photos/302419404/original.jpeg
Eulepidotis dominicata,1763178,,,,,122,,,Eulepidotis,Erebidae,21,https://inaturalist-open-data.s3.amazonaws.com/photos/272280377/original.jpeg
,1763184,,,,,#N/A,,,,,122,https://inaturalist-open-data.s3.amazonaws.com/photos/245681556/original.jpg
